what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366062821145
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366062829566
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366062829990
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366062831020
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366062833363
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366062833381
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366062843796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366062856562
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366062856605
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366062933481
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366062933662
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366062933806
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366062933974
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366062934054
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366062934222
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366062934382
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366062995578
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366062995744
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366062995905
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366062996056
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366062996217
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366062996360
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366062996512
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366062996640
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366062996793
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366062996945
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366062997097
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366062997256
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366062997418
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366062997608
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063082372
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063083192
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366063085974
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063119141
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063149476
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063150311
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366063152504
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063171523
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1366063189193
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063189516
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063189572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1366063236058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1366063247717
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063258465
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063259354
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063261075
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063261096
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366063263747
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063273307
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063306555
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063307616
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1366063310576
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063310771
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1366063377853
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063378083
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366063384762
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1366063391399
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063391729
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1366063393513
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063393684
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063458333
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063459258
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366063463486
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063491786
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1366063503739
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1366063526412
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063537858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063538702
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366063541641
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063570987
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1366063574807
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1366063577117
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1366063579653
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1366063580485
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063581366
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063582366
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1366063582382
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063584639
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1366063585913
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063586386
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063586436
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063587594
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1366063587611
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063594111
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366063594126
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063600237
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063600356
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1366063601670
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063602452
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063602502
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063604435
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1366063604457
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063614339
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1366063617070
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063617261
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063618997
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1366063619020
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063622226
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366063623453
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063627026
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1366063642347
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063642577
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366063664352
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063691908
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063693029
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366063695215
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063711387
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063729415
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063729471
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1366063746320
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063746500
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063930939
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063931695
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366063934034
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063951512
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366063953777
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063953926
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366063955827
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366063957720
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063997539
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366063998417
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366064000729
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366064012999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366064040100
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366064040147
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366064046077
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366064075657
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366064079907
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366064222038
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366064229768
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366064432019
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366064432805
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366064434109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366064436951
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1366064437854
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366064438107
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1366064452020
